Timestamp, Client ID, Message Received
243, 0, $R241 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
243, 1, $R195 $UPP+1+770+175+1+0+0 $UPP+1+770+175+1+0+0 $UPP+1+770+175+1+4+0
244, 0, $R242 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
245, 0, $R243 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
246, 0, $R244 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
246, 1, $R196 $UPP+1+770+175+1+4+0 $UPP+1+770+175+1+0+0 $UPP+1+770+175+1+0+0 $UPP+1+770+175+1+0+0$R197 $UPP+1+770+175+1+0+0
247, 0, $R245 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
247, 1, $R198 $UPP+1+770+175+1+3+0
248, 0, $R246 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
248, 1, $R199 $UPP+1+770+175+0+0+0 $UPP+1+755+175+0+0+0
249, 0, $R247 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
249, 1, $R200 $UPP+1+755+175+0+0+0
250, 0, $R248 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
250, 1, $R201 $UPP+1+755+175+0+0+0 $UPP+1+755+175+0+0+0
251, 0, $R249 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
251, 1, $R202 $UPP+1+755+175+0+0+0 $UPP+1+755+175+0+3+0
252, 0, $R250 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
252, 1, $R203 $UPP+1+755+175+0+0+0 $UPP+1+740+175+0+0+0
253, 0, $R251 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
253, 1, $R204 $UPP+1+725+175+0+0+0
254, 0, $R252 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
254, 1, $R205 $UPP+1+710+175+0+0+0 $UPP+1+695+175+0+0+0
255, 0, $R253 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
255, 1, $R206 $UPP+1+680+175+0+0+0
